state,target,model,train_r2,cv_r2,mae,rmse
Perlis,gdp_rm_million,Gradient Boosting,1.0,-2.7306,0.0,0.0
Perlis,gdp_rm_million,Random Forest,0.949,-4.5614,56.26,67.08
Perlis,gdp_rm_million,Extra Trees,1.0,-2.7306,0.0,0.0
Perlis,gdp_rm_million,Poly Ridge (deg 3),0.7907,-10.1602,103.16,135.94
Perlis,gdp_rm_million,ElasticNet Poly,0.7822,-1.6113,106.62,138.67
Perlis,population,Gradient Boosting,1.0,-6.9164,0.0,0.0
Perlis,population,Random Forest,0.9772,-55.4329,1700.0,2876.68
Perlis,population,Extra Trees,1.0,-6.9164,0.0,0.0
Perlis,population,Poly Ridge (deg 3),0.8691,-479.0422,5565.44,6895.62
Perlis,population,ElasticNet Poly,0.868,-14.9027,5701.0,6924.38
Pulau Pinang,gdp_rm_million,Gradient Boosting,1.0,-5.5731,0.0,0.0
Pulau Pinang,gdp_rm_million,Random Forest,0.9843,-13.1873,1425.77,1627.99
Pulau Pinang,gdp_rm_million,Extra Trees,1.0,-5.5731,0.0,0.0
Pulau Pinang,gdp_rm_million,Poly Ridge (deg 3),0.9617,-11.6816,2186.35,2544.63
Pulau Pinang,gdp_rm_million,ElasticNet Poly,0.9336,-8.8102,2688.3,3350.2
Pulau Pinang,population,Gradient Boosting,1.0,-3.6848,0.08,0.12
Pulau Pinang,population,Random Forest,0.9011,-119.1504,6278.89,7243.08
Pulau Pinang,population,Extra Trees,1.0,-3.6848,0.0,0.0
Pulau Pinang,population,Poly Ridge (deg 3),0.4446,-6044.8819,15234.0,17162.38
Pulau Pinang,population,ElasticNet Poly,0.4136,-1587.8819,16012.43,17633.84
Sabah,gdp_rm_million,Gradient Boosting,1.0,-4.2847,0.01,0.01
Sabah,gdp_rm_million,Random Forest,0.8299,-8.5817,970.76,1220.04
Sabah,gdp_rm_million,Extra Trees,1.0,-4.2847,0.0,0.0
Sabah,gdp_rm_million,Poly Ridge (deg 3),0.0377,-151.9646,2543.25,2901.67
Sabah,gdp_rm_million,ElasticNet Poly,0.0376,-10.823,2549.19,2901.8
Sabah,population,Gradient Boosting,1.0,-10.8341,0.05,0.07
