State,Year,Data_Type,unemployment_rate
Terengganu,2026,forecast,2.8088893039348344
Terengganu,2027,forecast,2.3892377308461343
Terengganu,2028,forecast,1.9695861577574338
Terengganu,2029,forecast,1.5499345846687336
W.P. Kuala Lumpur,2018,actual,2.1
W.P. Kuala Lumpur,2019,actual,2.3
W.P. Kuala Lumpur,2020,actual,3.2
W.P. Kuala Lumpur,2021,actual,2.95
W.P. Kuala Lumpur,2022,actual,2.55
W.P. Kuala Lumpur,2023,actual,2.3
W.P. Kuala Lumpur,2024,actual,2.1
W.P. Kuala Lumpur,2025,forecast,2.375424849508621
W.P. Kuala Lumpur,2026,forecast,2.3254248435481566
W.P. Kuala Lumpur,2027,forecast,2.2754248375876927
W.P. Kuala Lumpur,2028,forecast,2.2254248316272287
W.P. Kuala Lumpur,2029,forecast,2.1754248256667648
W.P. Labuan,2018,actual,5.5
W.P. Labuan,2019,actual,3.9499999999999997
W.P. Labuan,2020,actual,2.25
W.P. Labuan,2021,actual,1.9500000000000002
W.P. Labuan,2022,actual,1.55
W.P. Labuan,2023,actual,1.15
W.P. Labuan,2024,actual,1.05
W.P. Labuan,2025,forecast,1.0510321572879349
W.P. Labuan,2026,forecast,1.0624640322879348
W.P. Labuan,2027,forecast,1.0624640322879348
W.P. Labuan,2028,forecast,1.0624640322879348
W.P. Labuan,2029,forecast,1.0624640322879348
W.P. Putrajaya,2018,actual,1.3
W.P. Putrajaya,2019,actual,1.1
W.P. Putrajaya,2020,actual,1.4500000000000002
W.P. Putrajaya,2021,actual,1.5
W.P. Putrajaya,2022,actual,1.95
W.P. Putrajaya,2023,actual,1.1
W.P. Putrajaya,2024,actual,0.95
W.P. Putrajaya,2025,forecast,1.3193693208248218
W.P. Putrajaya,2026,forecast,1.3193693208248218
W.P. Putrajaya,2027,forecast,1.3193693208248218
W.P. Putrajaya,2028,forecast,1.3193693208248218
W.P. Putrajaya,2029,forecast,1.3193693208248218
