Year,Quarter,Skills,Economic Activity,Sub-economic Activity,Jobs ('000),Filled Jobs ('000),Vacancies ('000),Jobs Created ('000)
2023,3,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",52.8,50.1,2.8,0.2
2023,3,Skilled,Construction,Construction,143.5,138.6,5.0,0.5
2023,3,Skilled,Services,Wholesale & retail trade,600.6,595.8,4.8,1.7
2023,3,Skilled,Services,Food & beverages and accommodation,116.5,116.3,0.2,0.5
2023,3,Skilled,Services,Transportation & storage,95.6,95.3,0.3,0.8
2023,3,Skilled,Services,Information & communication,136.9,136.6,0.3,0.3
2023,3,Skilled,Services,"Finance, insurance, real estate & business services",426.5,418.3,8.2,2.2
2023,3,Skilled,Services,Other services,212.4,211.8,0.7,0.6
2023,3,Semi-skilled,Agriculture,Agriculture,434.8,414.7,20.1,1.2
2023,3,Semi-skilled,Mining & Quarrying,Mining & Quarrying,47.5,47.2,0.3,0.1
2023,3,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",253.9,246.1,7.8,0.3
2023,3,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",71.6,69.9,1.7,0.3
2023,3,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",234.5,227.8,6.7,0.6
2023,3,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",346.8,333.3,13.4,1.8
2023,3,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",287.0,279.5,7.5,0.8
2023,3,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",483.6,462.0,21.6,2.8
2023,3,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",174.1,168.3,5.8,0.6
2023,3,Semi-skilled,Construction,Construction,"1,072.1","1,057.5",14.5,3.0
2023,3,Semi-skilled,Services,Wholesale & retail trade,863.0,861.0,1.9,6.1
2023,3,Semi-skilled,Services,Food & beverages and accommodation,350.2,349.2,1.0,0.5
2023,3,Semi-skilled,Services,Transportation & storage,235.2,234.5,0.8,0.3
2023,3,Semi-skilled,Services,Information & communication,78.8,78.7,0.1,0.2
2023,3,Semi-skilled,Services,"Finance, insurance, real estate & business services",394.9,393.7,1.2,0.4
2023,3,Semi-skilled,Services,Other services,232.9,231.8,1.1,0.6
2023,3,Low-skilled,Agriculture,Agriculture,28.2,22.1,6.1,0.1
2023,3,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.6,9.5,0.1,0.0
2023,3,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",38.3,34.3,4.0,0.2
2023,3,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",5.9,5.2,0.8,0.1
2023,3,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",39.9,35.0,4.9,0.0
2023,3,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",25.7,23.9,1.8,0.3
2023,3,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",29.3,26.2,3.1,0.2
2023,3,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.5,20.4,3.1,0.1
2023,3,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.7,11.7,1.1,0.0
2023,3,Low-skilled,Construction,Construction,48.8,42.4,6.4,0.6
2023,3,Low-skilled,Services,Wholesale & retail trade,232.4,229.5,2.9,0.7
2023,3,Low-skilled,Services,Food & beverages and accommodation,341.7,341.3,0.4,0.2
2023,3,Low-skilled,Services,Transportation & storage,89.7,89.2,0.4,0.2
2023,3,Low-skilled,Services,Information & communication,17.8,17.3,0.5,0.1
2023,3,Low-skilled,Services,"Finance, insurance, real estate & business services",105.6,104.7,0.8,0.2
2023,3,Low-skilled,Services,Other services,70.8,70.4,0.4,0.3
2023,2,Skilled,Agriculture,Agriculture,28.3,24.0,4.4,0.2
2023,2,Skilled,Mining & Quarrying,Mining & Quarrying,23.6,23.5,0.1,0.0
2023,2,Skilled,Manufacturing,"Food processing, beverages & tobacco products",42.2,39.8,2.3,0.3
2023,2,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",10.2,9.6,0.6,0.0
2023,2,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.3,34.3,1.9,0.3
2023,2,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",83.2,78.6,4.6,0.5
2023,2,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",57.5,54.1,3.4,0.3
2023,2,Skilled,Manufacturing,"Electrical, electronic & optical products",150.4,141.2,9.2,0.6
2023,2,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",52.2,49.5,2.7,0.2
2023,2,Skilled,Construction,Construction,142.8,138.2,4.6,0.5
2023,2,Skilled,Services,Wholesale & retail trade,597.7,592.6,5.1,1.8
2023,2,Skilled,Services,Food & beverages and accommodation,115.0,114.8,0.2,0.5
2023,2,Skilled,Services,Transportation & storage,95.0,94.6,0.4,0.9
2023,2,Skilled,Services,Information & communication,136.4,136.1,0.3,0.3
2023,2,Skilled,Services,"Finance, insurance, real estate & business services",423.4,415.1,8.4,2.2
2023,2,Skilled,Services,Other services,210.7,210.1,0.6,0.5
2023,2,Semi-skilled,Agriculture,Agriculture,425.1,405.0,20.1,1.4
2023,2,Semi-skilled,Mining & Quarrying,Mining & Quarrying,47.1,46.8,0.2,0.1
2023,2,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",245.0,237.3,7.7,0.2
2023,2,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",71.8,70.0,1.7,0.3
2023,2,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",232.5,225.9,6.7,0.6
2023,2,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",340.3,327.1,13.2,1.8
2023,2,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",280.9,273.5,7.4,0.7
2023,2,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",481.6,459.7,21.9,2.8
2023,2,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",171.9,166.1,5.9,0.7
2023,2,Semi-skilled,Construction,Construction,"1,067.3","1,053.5",13.8,2.7
2023,2,Semi-skilled,Services,Wholesale & retail trade,852.6,850.4,2.3,6.2
2023,2,Semi-skilled,Services,Food & beverages and accommodation,350.5,349.2,1.3,0.5
2023,2,Semi-skilled,Services,Transportation & storage,234.7,233.9,0.8,0.4
2023,2,Semi-skilled,Services,Information & communication,78.7,78.6,0.1,0.2
2023,2,Semi-skilled,Services,"Finance, insurance, real estate & business services",393.4,392.4,1.0,0.4
2023,2,Semi-skilled,Services,Other services,233.3,232.2,1.1,0.6
2023,2,Low-skilled,Agriculture,Agriculture,28.5,22.3,6.2,0.0
2023,2,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.6,9.6,0.1,0.0
2023,2,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",37.4,33.4,4.0,0.1
2023,2,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",5.9,5.2,0.8,0.1
2023,2,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",39.4,34.5,4.9,0.0
2023,2,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",25.2,23.4,1.8,0.2
2023,2,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",28.7,25.6,3.1,0.2
2023,2,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.4,20.3,3.1,0.1
2023,2,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.6,11.6,1.1,0.0
2023,2,Low-skilled,Construction,Construction,49.0,43.7,5.2,0.4
2023,2,Low-skilled,Services,Wholesale & retail trade,231.5,228.6,2.9,0.8
2023,2,Low-skilled,Services,Food & beverages and accommodation,340.4,339.9,0.5,0.2
2023,2,Low-skilled,Services,Transportation & storage,89.6,89.2,0.4,0.2
2023,2,Low-skilled,Services,Information & communication,17.8,17.3,0.4,0.1
2023,2,Low-skilled,Services,"Finance, insurance, real estate & business services",106.3,105.4,0.9,0.2
2023,2,Low-skilled,Services,Other services,70.2,69.8,0.4,0.2
2023,1,Skilled,Agriculture,Agriculture,28.1,23.8,4.3,0.2
2023,1,Skilled,Mining & Quarrying,Mining & Quarrying,23.7,23.5,0.1,0.0
2023,1,Skilled,Manufacturing,"Food processing, beverages & tobacco products",41.8,39.5,2.3,0.3
2023,1,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",10.1,9.5,0.6,0.0
2023,1,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.7,34.8,1.9,0.3
2023,1,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",84.0,79.3,4.7,0.6
2023,1,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",57.7,54.2,3.4,0.3
2023,1,Skilled,Manufacturing,"Electrical, electronic & optical products",149.9,140.8,9.1,0.6
2023,1,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",52.3,49.6,2.7,0.2
2023,1,Skilled,Construction,Construction,141.9,137.3,4.6,0.4
2023,1,Skilled,Services,Wholesale & retail trade,595.2,590.5,4.7,1.4
2023,1,Skilled,Services,Food & beverages and accommodation,114.6,114.4,0.2,0.3
2023,1,Skilled,Services,Transportation & storage,92.4,92.2,0.2,0.8
2023,1,Skilled,Services,Information & communication,136.3,135.9,0.4,0.4
2023,1,Skilled,Services,"Finance, insurance, real estate & business services",422.0,412.8,9.2,2.2
2023,1,Skilled,Services,Other services,209.1,208.3,0.8,0.6
2023,1,Semi-skilled,Agriculture,Agriculture,424.8,404.1,20.7,1.3
2023,1,Semi-skilled,Mining & Quarrying,Mining & Quarrying,46.7,46.4,0.2,0.1
2023,1,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",241.8,234.6,7.2,0.2
2023,1,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",71.2,69.4,1.8,0.4
2023,1,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",232.9,226.3,6.6,0.6
2023,1,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",347.3,333.6,13.7,1.9
2023,1,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",280.7,273.5,7.2,0.8
2023,1,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",477.0,456.0,21.0,2.8
2023,1,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",172.4,166.3,6.1,0.7
2023,1,Semi-skilled,Construction,Construction,"1,067.3","1,053.8",13.5,2.5
2023,1,Semi-skilled,Services,Wholesale & retail trade,843.2,840.4,2.8,6.5
2023,1,Semi-skilled,Services,Food & beverages and accommodation,351.3,349.1,2.2,0.5
2023,1,Semi-skilled,Services,Transportation & storage,233.7,233.2,0.5,0.5
2023,1,Semi-skilled,Services,Information & communication,78.4,78.2,0.2,0.3
2023,1,Semi-skilled,Services,"Finance, insurance, real estate & business services",393.0,391.7,1.2,0.4
2023,1,Semi-skilled,Services,Other services,233.2,232.1,1.1,0.7
2023,1,Low-skilled,Agriculture,Agriculture,28.2,21.5,6.7,0.1
2023,1,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.8,9.7,0.1,0.0
2023,1,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",37.2,33.1,4.0,0.2
2023,1,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",5.9,5.2,0.8,0.1
2023,1,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",40.1,34.9,5.1,0.0
2023,1,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",26.0,24.1,1.9,0.2
2023,1,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",28.8,25.6,3.2,0.2
2023,1,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.4,20.4,3.1,0.1
2023,1,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.7,11.6,1.1,0.0
2023,1,Low-skilled,Construction,Construction,47.4,42.1,5.2,0.3
2023,1,Low-skilled,Services,Wholesale & retail trade,232.7,229.7,3.0,0.7
2023,1,Low-skilled,Services,Food & beverages and accommodation,338.3,338.0,0.3,0.2
2023,1,Low-skilled,Services,Transportation & storage,90.4,89.7,0.7,0.1
2023,1,Low-skilled,Services,Information & communication,17.7,17.3,0.5,0.1
2023,1,Low-skilled,Services,"Finance, insurance, real estate & business services",107.1,106.2,1.0,0.2
2023,1,Low-skilled,Services,Other services,69.3,69.0,0.3,0.2
2022,4,Skilled,Agriculture,Agriculture,28.3,23.9,4.3,0.2
2022,4,Skilled,Mining & Quarrying,Mining & Quarrying,23.4,23.2,0.1,0.0
2022,4,Skilled,Manufacturing,"Food processing, beverages & tobacco products",40.8,38.6,2.3,0.3
2022,4,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",9.9,9.4,0.6,0.0
2022,4,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.4,34.6,1.9,0.3
2022,4,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",83.7,79.0,4.7,0.6
2022,4,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",57.5,54.1,3.5,0.3
2022,4,Skilled,Manufacturing,"Electrical, electronic & optical products",149.2,140.1,9.1,0.6
2022,4,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",51.6,48.9,2.7,0.2
2022,4,Skilled,Construction,Construction,141.5,136.9,4.6,0.4
2022,4,Skilled,Services,Wholesale & retail trade,594.6,589.7,4.9,1.3
2022,4,Skilled,Services,Food & beverages and accommodation,114.9,114.4,0.5,0.3
2022,4,Skilled,Services,Transportation & storage,90.1,89.9,0.2,0.9
2022,4,Skilled,Services,Information & communication,135.8,135.4,0.4,0.4
2022,4,Skilled,Services,"Finance, insurance, real estate & business services",414.4,406.3,8.1,2.2
2022,4,Skilled,Services,Other services,208.4,207.6,0.8,0.8
2022,4,Semi-skilled,Agriculture,Agriculture,423.5,402.8,20.7,1.3
2022,4,Semi-skilled,Mining & Quarrying,Mining & Quarrying,46.4,46.1,0.2,0.1
2022,4,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",235.9,228.7,7.2,0.2
2022,4,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",70.1,68.3,1.8,0.4
2022,4,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",231.6,225.1,6.5,0.6
2022,4,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",347.2,333.3,13.9,1.8
2022,4,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",279.7,272.4,7.3,0.8
2022,4,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",478.0,457.1,20.9,2.8
2022,4,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",169.8,163.9,6.0,0.6
2022,4,Semi-skilled,Construction,Construction,"1,062.6","1,049.2",13.4,2.5
2022,4,Semi-skilled,Services,Wholesale & retail trade,837.5,834.9,2.5,6.2
2022,4,Semi-skilled,Services,Food & beverages and accommodation,343.9,341.7,2.2,0.6
2022,4,Semi-skilled,Services,Transportation & storage,228.9,228.3,0.5,0.3
2022,4,Semi-skilled,Services,Information & communication,78.5,78.3,0.2,0.3
2022,4,Semi-skilled,Services,"Finance, insurance, real estate & business services",392.8,391.5,1.3,0.4
2022,4,Semi-skilled,Services,Other services,231.9,230.5,1.3,0.8
2022,4,Low-skilled,Agriculture,Agriculture,28.1,21.4,6.7,0.1
2022,4,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.8,9.7,0.1,0.0
2022,4,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",36.1,32.0,4.0,0.2
2022,4,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",6.0,5.2,0.8,0.1
2022,4,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",40.1,35.0,5.1,0.0
2022,4,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",26.0,24.0,2.0,0.2
2022,4,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",28.7,25.6,3.1,0.2
2022,4,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.2,20.1,3.1,0.1
2022,4,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.5,11.4,1.1,0.0
2022,4,Low-skilled,Construction,Construction,46.7,41.4,5.3,0.3
2022,4,Low-skilled,Services,Wholesale & retail trade,236.6,233.0,3.6,0.9
2022,4,Low-skilled,Services,Food & beverages and accommodation,335.1,334.6,0.5,0.1
2022,4,Low-skilled,Services,Transportation & storage,92.1,91.2,0.8,0.1
2022,4,Low-skilled,Services,Information & communication,17.6,17.2,0.4,0.1
2022,4,Low-skilled,Services,"Finance, insurance, real estate & business services",108.9,108.0,0.9,0.1
2022,4,Low-skilled,Services,Other services,69.6,69.2,0.4,0.2
2022,3,Skilled,Agriculture,Agriculture,29.2,24.6,4.5,0.2
2022,3,Skilled,Mining & Quarrying,Mining & Quarrying,23.0,22.9,0.1,0.0
2022,3,Skilled,Manufacturing,"Food processing, beverages & tobacco products",39.8,37.6,2.3,0.2
2022,3,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",9.7,9.1,0.6,0.0
2022,3,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",35.9,34.1,1.8,0.3
2022,3,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",83.6,78.9,4.7,0.6
2022,3,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",57.2,53.8,3.4,0.2
2022,3,Skilled,Manufacturing,"Electrical, electronic & optical products",146.3,137.2,9.1,0.6
2022,3,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",51.3,48.5,2.7,0.2
2022,3,Skilled,Construction,Construction,139.5,135.0,4.5,0.4
2022,3,Skilled,Services,Wholesale & retail trade,587.8,584.1,3.7,1.2
2022,3,Skilled,Services,Food & beverages and accommodation,113.9,113.7,0.3,0.2
2022,3,Skilled,Services,Transportation & storage,87.6,87.5,0.1,0.9
2022,3,Skilled,Services,Information & communication,135.7,135.2,0.5,0.8
2022,3,Skilled,Services,"Finance, insurance, real estate & business services",409.4,400.3,9.1,2.1
2022,3,Skilled,Services,Other services,207.5,206.7,0.8,0.8
2022,3,Semi-skilled,Agriculture,Agriculture,413.7,393.8,19.9,1.2
2022,3,Semi-skilled,Mining & Quarrying,Mining & Quarrying,45.6,45.4,0.2,0.1
2022,3,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",230.3,223.0,7.2,0.2
2022,3,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",68.4,66.7,1.8,0.3
2022,3,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",230.2,223.7,6.5,0.6
2022,3,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",347.9,334.1,13.8,1.7
2022,3,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",277.8,270.5,7.3,0.7
2022,3,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",472.0,451.3,20.8,2.9
2022,3,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",169.1,163.0,6.1,0.5
2022,3,Semi-skilled,Construction,Construction,"1,053.2","1,040.2",13.0,2.8
2022,3,Semi-skilled,Services,Wholesale & retail trade,828.7,824.2,4.5,4.6
2022,3,Semi-skilled,Services,Food & beverages and accommodation,338.0,336.5,1.5,0.5
2022,3,Semi-skilled,Services,Transportation & storage,229.0,228.3,0.6,1.0
2022,3,Semi-skilled,Services,Information & communication,78.2,77.9,0.2,0.4
2022,3,Semi-skilled,Services,"Finance, insurance, real estate & business services",393.0,391.8,1.2,0.4
2022,3,Semi-skilled,Services,Other services,230.5,229.2,1.3,0.8
2022,3,Low-skilled,Agriculture,Agriculture,27.2,20.7,6.5,0.1
2022,3,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.7,9.6,0.1,0.0
2022,3,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",35.2,31.2,4.0,0.2
2022,3,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",5.9,5.2,0.8,0.1
2022,3,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",40.0,34.9,5.0,0.0
2022,3,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",26.0,24.0,2.0,0.2
2022,3,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",28.5,25.3,3.2,0.2
2022,3,Low-skilled,Manufacturing,"Electrical, electronic & optical products",22.9,19.8,3.1,0.1
2022,3,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.4,11.3,1.1,0.0
2022,3,Low-skilled,Construction,Construction,44.5,39.2,5.3,0.3
2022,3,Low-skilled,Services,Wholesale & retail trade,240.6,238.1,2.5,1.1
2022,3,Low-skilled,Services,Food & beverages and accommodation,330.9,330.1,0.8,0.1
2022,3,Low-skilled,Services,Transportation & storage,89.4,88.5,0.9,0.1
2022,3,Low-skilled,Services,Information & communication,17.6,17.1,0.5,0.1
2022,3,Low-skilled,Services,"Finance, insurance, real estate & business services",110.4,109.5,0.9,0.3
2022,3,Low-skilled,Services,Other services,71.3,70.8,0.5,0.4
2022,2,Skilled,Agriculture,Agriculture,29.4,24.8,4.6,0.1
2022,2,Skilled,Mining & Quarrying,Mining & Quarrying,23.6,23.5,0.1,0.0
2022,2,Skilled,Manufacturing,"Food processing, beverages & tobacco products",39.0,36.7,2.2,0.2
2022,2,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",9.6,9.1,0.6,0.0
2022,2,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",35.5,33.7,1.8,0.2
2022,2,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",83.0,78.3,4.7,0.5
2022,2,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",56.8,53.4,3.5,0.2
2022,2,Skilled,Manufacturing,"Electrical, electronic & optical products",143.0,134.1,8.9,0.5
2022,2,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",50.7,48.0,2.7,0.2
2022,2,Skilled,Construction,Construction,139.1,134.4,4.7,0.4
2022,2,Skilled,Services,Wholesale & retail trade,586.9,582.5,4.4,1.8
2022,2,Skilled,Services,Food & beverages and accommodation,113.6,113.4,0.2,0.2
2022,2,Skilled,Services,Transportation & storage,85.7,85.6,0.1,0.5
2022,2,Skilled,Services,Information & communication,134.4,133.9,0.6,0.9
2022,2,Skilled,Services,"Finance, insurance, real estate & business services",405.3,396.3,9.0,2.6
2022,2,Skilled,Services,Other services,207.9,206.8,1.2,0.9
2022,2,Semi-skilled,Agriculture,Agriculture,411.9,392.1,19.8,1.2
2022,2,Semi-skilled,Mining & Quarrying,Mining & Quarrying,44.5,44.3,0.2,0.1
2022,2,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",225.8,218.6,7.2,0.2
2022,2,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",68.4,66.6,1.8,0.3
2022,2,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",228.2,221.8,6.3,0.5
2022,2,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",341.7,327.8,13.9,1.6
2022,2,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",275.8,268.4,7.5,0.7
2022,2,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",464.3,443.8,20.5,2.6
2022,2,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",167.0,160.9,6.2,0.5
2022,2,Semi-skilled,Construction,Construction,"1,054.4","1,041.7",12.7,2.7
2022,2,Semi-skilled,Services,Wholesale & retail trade,820.8,816.7,4.1,4.3
2022,2,Semi-skilled,Services,Food & beverages and accommodation,335.1,333.7,1.4,0.3
2022,2,Semi-skilled,Services,Transportation & storage,227.0,226.3,0.7,1.0
2022,2,Semi-skilled,Services,Information & communication,77.5,77.2,0.3,0.3
2022,2,Semi-skilled,Services,"Finance, insurance, real estate & business services",391.5,390.3,1.1,0.4
2022,2,Semi-skilled,Services,Other services,230.4,229.0,1.4,0.8
2022,2,Low-skilled,Agriculture,Agriculture,27.6,21.3,6.4,0.1
2022,2,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.5,9.4,0.1,0.0
2022,2,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",34.8,30.8,4.0,0.2
2022,2,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",5.9,5.2,0.8,0.1
2022,2,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",39.5,34.6,4.9,0.0
2022,2,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",25.3,23.4,2.0,0.2
2022,2,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",28.4,25.2,3.3,0.2
2022,2,Low-skilled,Manufacturing,"Electrical, electronic & optical products",22.7,19.7,3.1,0.1
2022,2,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.5,11.4,1.1,0.0
2022,2,Low-skilled,Construction,Construction,44.9,39.6,5.3,0.4
2022,2,Low-skilled,Services,Wholesale & retail trade,239.2,236.9,2.4,0.6
2022,2,Low-skilled,Services,Food & beverages and accommodation,331.8,331.1,0.7,0.0
2022,2,Low-skilled,Services,Transportation & storage,89.7,88.7,1.0,0.2
2022,2,Low-skilled,Services,Information & communication,18.3,17.7,0.5,0.1
2022,2,Low-skilled,Services,"Finance, insurance, real estate & business services",109.2,108.5,0.7,0.3
2022,2,Low-skilled,Services,Other services,71.2,70.5,0.8,0.2
2022,1,Skilled,Agriculture,Agriculture,29.5,25.0,4.5,0.1
2022,1,Skilled,Mining & Quarrying,Mining & Quarrying,23.5,23.4,0.1,0.0
2022,1,Skilled,Manufacturing,"Food processing, beverages & tobacco products",38.6,36.4,2.2,0.2
2022,1,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",9.7,9.1,0.5,0.0
2022,1,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",35.4,33.6,1.8,0.2
2022,1,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",82.4,77.6,4.8,0.5
2022,1,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",57.0,53.4,3.6,0.2
2022,1,Skilled,Manufacturing,"Electrical, electronic & optical products",141.9,133.1,8.8,0.5
2022,1,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",50.7,48.0,2.7,0.2
2022,1,Skilled,Construction,Construction,140.3,135.6,4.7,0.3
2022,1,Skilled,Services,Wholesale & retail trade,566.8,564.9,1.8,1.1
2022,1,Skilled,Services,Food & beverages and accommodation,114.4,114.2,0.3,0.2
2022,1,Skilled,Services,Transportation & storage,84.0,83.8,0.2,0.9
2022,1,Skilled,Services,Information & communication,134.1,133.7,0.4,0.9
2022,1,Skilled,Services,"Finance, insurance, real estate & business services",402.2,394.5,7.6,2.0
2022,1,Skilled,Services,Other services,206.4,205.7,0.7,0.7
2022,1,Semi-skilled,Agriculture,Agriculture,409.8,390.5,19.3,1.3
2022,1,Semi-skilled,Mining & Quarrying,Mining & Quarrying,44.6,44.4,0.2,0.1
2022,1,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",223.3,216.5,6.8,0.2
2022,1,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",68.6,66.9,1.7,0.3
2022,1,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",228.1,222.1,6.0,0.5
2022,1,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",338.6,324.9,13.7,1.6
2022,1,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",276.2,268.5,7.7,0.7
