Year,Quarter,Skills,Economic Activity,Sub-economic Activity,Jobs ('000),Filled Jobs ('000),Vacancies ('000),Jobs Created ('000)
2024,4,Skilled,Services,Food & beverages and accommodation,117.9,117.6,0.3,0.3
2024,4,Skilled,Services,Transportation & storage,100.4,100.0,0.4,0.9
2024,4,Skilled,Services,Information & communication,139.4,139.1,0.3,0.3
2024,4,Skilled,Services,"Finance, insurance, real estate & business services",435.6,428.7,6.9,1.6
2024,4,Skilled,Services,Other services,217.5,216.9,0.6,0.6
2024,4,Semi-skilled,Agriculture,Agriculture,444.2,422.9,21.2,1.0
2024,4,Semi-skilled,Mining & Quarrying,Mining & Quarrying,47.2,46.9,0.3,0.1
2024,4,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",268.6,260.5,8.1,0.2
2024,4,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",72.9,71.1,1.8,0.4
2024,4,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",239.2,232.8,6.4,0.7
2024,4,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",353.2,339.6,13.6,1.9
2024,4,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",292.4,284.3,8.1,0.8
2024,4,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",479.6,457.9,21.7,3.2
2024,4,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",175.6,169.5,6.1,0.5
2024,4,Semi-skilled,Construction,Construction,"1,079.3","1,064.8",14.5,2.5
2024,4,Semi-skilled,Services,Wholesale & retail trade,896.6,894.4,2.2,6.5
2024,4,Semi-skilled,Services,Food & beverages and accommodation,352.0,351.1,1.0,0.4
2024,4,Semi-skilled,Services,Transportation & storage,239.6,238.9,0.7,0.4
2024,4,Semi-skilled,Services,Information & communication,79.9,79.8,0.1,0.2
2024,4,Semi-skilled,Services,"Finance, insurance, real estate & business services",402.4,401.1,1.3,0.4
2024,4,Semi-skilled,Services,Other services,236.5,235.3,1.2,0.4
2024,4,Low-skilled,Agriculture,Agriculture,28.5,22.3,6.2,0.1
2024,4,Low-skilled,Mining & Quarrying,Mining & Quarrying,10.0,9.9,0.1,0.0
2024,4,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",38.9,34.8,4.1,0.1
2024,4,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",5.9,5.1,0.8,0.1
2024,4,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",41.3,35.9,5.4,0.1
2024,4,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",25.4,23.6,1.8,0.2
2024,4,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",30.4,27.1,3.3,0.2
2024,4,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.3,20.1,3.2,0.2
2024,4,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.6,11.5,1.1,0.1
2024,4,Low-skilled,Construction,Construction,50.0,43.6,6.4,0.4
2024,4,Low-skilled,Services,Wholesale & retail trade,235.5,232.7,2.9,0.9
2024,4,Low-skilled,Services,Food & beverages and accommodation,340.5,340.2,0.4,0.1
2024,4,Low-skilled,Services,Transportation & storage,92.7,92.4,0.3,0.2
2024,4,Low-skilled,Services,Information & communication,18.0,17.6,0.5,0.1
2024,4,Low-skilled,Services,"Finance, insurance, real estate & business services",104.1,103.3,0.8,0.2
2024,4,Low-skilled,Services,Other services,71.6,71.3,0.4,0.4
2024,3,Skilled,Agriculture,Agriculture,28.5,24.0,4.5,0.1
2024,3,Skilled,Mining & Quarrying,Mining & Quarrying,23.3,23.2,0.1,0.0
2024,3,Skilled,Manufacturing,"Food processing, beverages & tobacco products",45.4,43.1,2.4,0.3
2024,3,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",10.4,9.8,0.6,0.0
2024,3,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.8,34.8,2.0,0.2
2024,3,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",82.6,78.3,4.3,0.7
2024,3,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",61.9,58.2,3.7,0.3
2024,3,Skilled,Manufacturing,"Electrical, electronic & optical products",149.7,140.5,9.2,0.7
2024,3,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",52.9,50.1,2.8,0.2
2024,3,Skilled,Construction,Construction,142.9,138.1,4.7,0.4
2024,3,Skilled,Services,Wholesale & retail trade,613.1,608.4,4.7,1.6
2024,3,Skilled,Services,Food & beverages and accommodation,117.8,117.6,0.3,0.3
2024,3,Skilled,Services,Transportation & storage,99.5,99.1,0.4,1.0
2024,3,Skilled,Services,Information & communication,138.6,138.3,0.3,0.2
2024,3,Skilled,Services,"Finance, insurance, real estate & business services",433.9,427.0,6.9,1.8
2024,3,Skilled,Services,Other services,217.3,216.7,0.6,0.5
2024,3,Semi-skilled,Agriculture,Agriculture,444.2,422.9,21.3,1.1
2024,3,Semi-skilled,Mining & Quarrying,Mining & Quarrying,47.0,46.8,0.3,0.1
2024,3,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",267.1,259.5,7.7,0.2
2024,3,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",73.1,71.3,1.8,0.3
2024,3,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",235.5,228.8,6.6,0.6
2024,3,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",350.0,336.5,13.6,2.0
2024,3,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",291.6,284.0,7.6,0.8
2024,3,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",480.0,458.6,21.4,3.2
2024,3,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",175.4,169.4,6.0,0.5
2024,3,Semi-skilled,Construction,Construction,"1,077.1","1,062.8",14.3,2.8
2024,3,Semi-skilled,Services,Wholesale & retail trade,889.1,886.9,2.2,6.6
2024,3,Semi-skilled,Services,Food & beverages and accommodation,350.6,349.6,1.0,0.4
2024,3,Semi-skilled,Services,Transportation & storage,238.5,237.8,0.7,0.3
2024,3,Semi-skilled,Services,Information & communication,79.5,79.4,0.1,0.2
2024,3,Semi-skilled,Services,"Finance, insurance, real estate & business services",401.4,400.1,1.3,0.3
2024,3,Semi-skilled,Services,Other services,234.7,233.5,1.2,0.6
2024,3,Low-skilled,Agriculture,Agriculture,28.3,22.2,6.1,0.1
2024,3,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.9,9.7,0.1,0.0
2024,3,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",39.0,34.9,4.1,0.1
2024,3,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",6.0,5.2,0.8,0.1
2024,3,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",40.5,35.2,5.3,0.0
2024,3,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",25.3,23.5,1.8,0.2
2024,3,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",30.3,27.1,3.2,0.2
2024,3,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.1,19.9,3.2,0.1
2024,3,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.6,11.6,1.1,0.0
2024,3,Low-skilled,Construction,Construction,49.8,43.5,6.3,0.5
2024,3,Low-skilled,Services,Wholesale & retail trade,231.8,229.1,2.7,0.9
2024,3,Low-skilled,Services,Food & beverages and accommodation,340.0,339.7,0.3,0.1
2024,3,Low-skilled,Services,Transportation & storage,91.9,91.5,0.3,0.2
2024,3,Low-skilled,Services,Information & communication,18.0,17.5,0.5,0.1
2024,3,Low-skilled,Services,"Finance, insurance, real estate & business services",104.2,103.3,0.9,0.3
2024,3,Low-skilled,Services,Other services,71.5,71.2,0.4,0.2
2024,2,Skilled,Agriculture,Agriculture,28.5,24.1,4.5,0.1
2024,2,Skilled,Mining & Quarrying,Mining & Quarrying,23.7,23.4,0.2,0.1
2024,2,Skilled,Manufacturing,"Food processing, beverages & tobacco products",44.7,42.3,2.4,0.2
2024,2,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",10.3,9.8,0.6,0.0
2024,2,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.2,34.3,2.0,0.2
2024,2,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",81.9,77.7,4.2,0.6
2024,2,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",60.4,56.8,3.6,0.3
2024,2,Skilled,Manufacturing,"Electrical, electronic & optical products",148.4,139.3,9.1,0.7
2024,2,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",52.4,49.6,2.8,0.2
2024,2,Skilled,Construction,Construction,143.9,138.7,5.2,0.4
2024,2,Skilled,Services,Wholesale & retail trade,608.9,604.0,5.0,1.5
2024,2,Skilled,Services,Food & beverages and accommodation,117.7,117.5,0.2,0.3
2024,2,Skilled,Services,Transportation & storage,98.9,98.6,0.3,1.0
2024,2,Skilled,Services,Information & communication,138.0,137.7,0.3,0.2
2024,2,Skilled,Services,"Finance, insurance, real estate & business services",431.5,424.4,7.0,1.9
2024,2,Skilled,Services,Other services,217.1,216.6,0.5,0.6
2024,2,Semi-skilled,Agriculture,Agriculture,443.1,421.8,21.3,1.1
2024,2,Semi-skilled,Mining & Quarrying,Mining & Quarrying,47.2,46.9,0.3,0.1
2024,2,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",261.6,254.0,7.6,0.2
2024,2,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",73.4,71.7,1.7,0.3
2024,2,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",233.7,227.0,6.8,0.5
2024,2,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",343.8,330.5,13.3,1.9
2024,2,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",287.1,279.3,7.8,1.0
2024,2,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",476.3,455.1,21.3,3.0
2024,2,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",173.7,167.6,6.0,0.6
2024,2,Semi-skilled,Construction,Construction,"1,075.0","1,060.4",14.6,2.8
2024,2,Semi-skilled,Services,Wholesale & retail trade,883.8,881.9,1.9,6.3
2024,2,Semi-skilled,Services,Food & beverages and accommodation,348.2,347.2,1.0,0.4
2024,2,Semi-skilled,Services,Transportation & storage,237.2,236.5,0.7,0.3
2024,2,Semi-skilled,Services,Information & communication,78.9,78.8,0.1,0.3
2024,2,Semi-skilled,Services,"Finance, insurance, real estate & business services",401.4,400.1,1.3,0.6
2024,2,Semi-skilled,Services,Other services,234.1,232.8,1.3,0.5
2024,2,Low-skilled,Agriculture,Agriculture,28.1,22.1,6.1,0.1
2024,2,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.8,9.7,0.1,0.0
2024,2,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",38.5,34.4,4.1,0.2
2024,2,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",6.0,5.3,0.8,0.1
2024,2,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",40.1,34.9,5.2,0.0
