statistics,2016,2017,2018,2019,2020,2021,2022,2023,2024
≤ 24_unemp_rate_degree,26.9,22.5,24.9,25.9,23.2,26,22.9,21.4,20.5
25 - 34_unemp_rate_degree,4.2,3.9,4.3,3.6,6,5.5,5.2,5,4.6
35 - 44_unemp_rate_degree,1,0.6,1,0.3,1.4,1.2,1,0.9,0.8
≥ 45_unemp_rate_degree,0.7,0.6,0.5,0.3,0.9,1.2,1.6,0.8,0.9
≤ 24_unemp_rate_diploma,12.6,15.7,14.3,13.4,14.1,13.6,15.1,15.9,14.8
25 - 34_unemp_rate_diploma,3.1,3.6,2.7,3.6,5.2,4.3,2.9,2.5,2.7
35 - 44_unemp_rate_diploma,1.6,1.2,0.9,1.2,1.5,1.3,0.9,1.1,0.9
≥ 45_unemp_rate_diploma,0.4,1.1,0.6,0.9,1.9,2.2,2.8,1.1,0.9
